global_id,novel_id,episode_id,total_pairs,keep,retime,split,merge,resegment,delete_noise,delete_text,insert,rewrite_minor,rewrite_major,split_rewrite,merge_rewrite,resegment_rewrite,keep_like_ratio,delete_text_ratio,insert_ratio,review_pairs,review_ratio
novela001__episode_0027,novela001,episode_0027,14,0,11,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0028,novela001,episode_0028,17,5,9,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0029,novela001,episode_0029,25,0,24,0,0,0,0,0,0,1,0,0,0,0,0.96,0.0,0.0,0,0.0
novela001__episode_0030,novela001,episode_0030,9,0,3,6,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0031,novela001,episode_0031,30,2,16,9,0,0,0,1,0,1,0,0,1,0,0.9,0.0333,0.0,0,0.0
novela001__episode_0032,novela001,episode_0032,42,0,0,0,0,0,0,21,21,0,0,0,0,0,0.0,0.5,0.5,3,0.0714
novela001__episode_0033,novela001,episode_0033,19,0,4,0,0,0,0,7,0,1,5,0,2,0,0.2105,0.3684,0.0,0,0.0
novela001__episode_0034,novela001,episode_0034,35,0,0,0,0,0,0,17,18,0,0,0,0,0,0.0,0.4857,0.5143,1,0.0286
novela001__episode_0035,novela001,episode_0035,29,3,24,0,1,0,0,0,0,1,0,0,0,0,0.9655,0.0,0.0,0,0.0
novela001__episode_0036,novela001,episode_0036,30,0,3,1,0,0,0,20,0,1,2,3,0,0,0.1333,0.6667,0.0,0,0.0
novela001__episode_0037,novela001,episode_0037,15,0,0,0,0,0,0,8,7,0,0,0,0,0,0.0,0.5333,0.4667,0,0.0
novela001__episode_0038,novela001,episode_0038,32,1,24,0,0,0,0,4,0,1,2,0,0,0,0.7812,0.125,0.0,0,0.0
novela001__episode_0039,novela001,episode_0039,8,0,5,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0040,novela001,episode_0040,22,2,11,7,0,0,0,1,0,0,1,0,0,0,0.9091,0.0455,0.0,0,0.0
novela001__episode_0041,novela001,episode_0041,13,2,9,2,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1,0.0769
novela001__episode_0042,novela001,episode_0042,34,0,4,3,0,0,0,10,15,1,0,1,0,0,0.2059,0.2941,0.4412,2,0.0588
novela001__episode_0043,novela001,episode_0043,14,0,5,6,0,0,0,1,1,0,0,1,0,0,0.7857,0.0714,0.0714,0,0.0
novela001__episode_0044,novela001,episode_0044,16,0,13,1,0,0,0,2,0,0,0,0,0,0,0.875,0.125,0.0,0,0.0
novela001__episode_0045,novela001,episode_0045,5,1,4,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1,0.2
novela001__episode_0046,novela001,episode_0046,27,0,1,2,0,0,0,9,15,0,0,0,0,0,0.1111,0.3333,0.5556,6,0.2222
novela001__episode_0047,novela001,episode_0047,22,0,19,1,1,0,0,1,0,0,0,0,0,0,0.9545,0.0455,0.0,0,0.0
novela001__episode_0048,novela001,episode_0048,9,1,3,5,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0049,novela001,episode_0049,38,0,18,1,1,0,0,1,0,4,12,0,0,1,0.5263,0.0263,0.0,0,0.0
novela001__episode_0050,novela001,episode_0050,13,0,7,4,0,0,0,0,0,1,1,0,0,0,0.8462,0.0,0.0,0,0.0
novela001__episode_0051,novela001,episode_0051,35,1,31,1,0,0,0,1,0,0,1,0,0,0,0.9429,0.0286,0.0,0,0.0
novela001__episode_0052,novela001,episode_0052,23,0,17,0,0,0,0,2,3,0,1,0,0,0,0.7391,0.087,0.1304,0,0.0
novela001__episode_0053,novela001,episode_0053,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0054,novela001,episode_0054,24,0,14,8,0,0,0,1,0,1,0,0,0,0,0.9167,0.0417,0.0,0,0.0
novela001__episode_0055,novela001,episode_0055,11,1,9,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1,0.0909
novela001__episode_0056,novela001,episode_0056,21,0,16,0,0,0,0,2,0,2,1,0,0,0,0.7619,0.0952,0.0,0,0.0
novela001__episode_0057,novela001,episode_0057,34,0,30,0,0,0,0,4,0,0,0,0,0,0,0.8824,0.1176,0.0,1,0.0294
novela001__episode_0058,novela001,episode_0058,19,0,15,0,2,1,0,0,0,0,1,0,0,0,0.9474,0.0,0.0,1,0.0526
novela001__episode_0059,novela001,episode_0059,38,0,0,0,0,0,0,13,25,0,0,0,0,0,0.0,0.3421,0.6579,4,0.1053
novela001__episode_0060,novela001,episode_0060,17,0,2,4,0,0,0,10,0,0,0,0,0,1,0.3529,0.5882,0.0,6,0.3529
novela001__episode_0061,novela001,episode_0061,12,0,9,1,0,0,0,0,0,2,0,0,0,0,0.8333,0.0,0.0,0,0.0
novela001__episode_0062,novela001,episode_0062,12,0,12,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0063,novela001,episode_0063,15,0,10,4,0,0,0,0,0,0,1,0,0,0,0.9333,0.0,0.0,0,0.0
novela001__episode_0064,novela001,episode_0064,20,0,17,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0065,novela001,episode_0065,10,0,6,4,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0066,novela001,episode_0066,14,0,10,1,0,0,0,0,0,1,0,2,0,0,0.7857,0.0,0.0,0,0.0
novela001__episode_0067,novela001,episode_0067,21,0,18,2,0,0,0,0,0,0,1,0,0,0,0.9524,0.0,0.0,0,0.0
novela001__episode_0068,novela001,episode_0068,22,2,12,4,0,0,0,0,0,0,2,2,0,0,0.8182,0.0,0.0,0,0.0
novela001__episode_0069,novela001,episode_0069,10,0,6,2,0,0,0,0,0,0,0,2,0,0,0.8,0.0,0.0,0,0.0
novela001__episode_0070,novela001,episode_0070,71,0,0,0,0,0,0,38,33,0,0,0,0,0,0.0,0.5352,0.4648,2,0.0282
novela001__episode_0071,novela001,episode_0071,30,0,5,1,0,0,0,9,13,1,1,0,0,0,0.2,0.3,0.4333,0,0.0
novela001__episode_0072,novela001,episode_0072,15,0,9,4,0,0,0,0,0,0,0,2,0,0,0.8667,0.0,0.0,0,0.0
novela001__episode_0073,novela001,episode_0073,14,0,13,0,0,0,0,1,0,0,0,0,0,0,0.9286,0.0714,0.0,0,0.0
novela001__episode_0074,novela001,episode_0074,15,2,11,0,0,1,0,0,0,1,0,0,0,0,0.9333,0.0,0.0,0,0.0
novela001__episode_0075,novela001,episode_0075,18,0,15,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0076,novela001,episode_0076,11,0,7,1,0,0,0,3,0,0,0,0,0,0,0.7273,0.2727,0.0,4,0.3636
novela001__episode_0077,novela001,episode_0077,22,0,10,7,1,0,0,0,0,1,3,0,0,0,0.8182,0.0,0.0,0,0.0
novela001__episode_0078,novela001,episode_0078,12,0,10,1,0,0,0,0,0,1,0,0,0,0,0.9167,0.0,0.0,0,0.0
novela001__episode_0079,novela001,episode_0079,14,0,11,2,0,0,0,0,0,0,1,0,0,0,0.9286,0.0,0.0,1,0.0714
novela001__episode_0080,novela001,episode_0080,18,0,4,0,0,0,0,9,0,4,0,0,1,0,0.2222,0.5,0.0,0,0.0
novela001__episode_0081,novela001,episode_0081,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0.0,0.0,0,0.0
novela002__episode_0001,novela002,episode_0001,96,0,1,0,0,0,0,35,59,0,0,1,0,0,0.0104,0.3646,0.6146,3,0.0312
novela002__episode_0002,novela002,episode_0002,49,0,20,20,0,0,0,0,0,3,2,3,1,0,0.8163,0.0,0.0,0,0.0
